ZCTA,Households100to149K,Households150to199K,Households200KorMore,RFM1,RFM2,RFM3
30721,1297,297,422,8,7,8
30815,1719,387,206,8,8,7
30906,1413,392,161,8,8,7
31005,1440,592,333,8,8,8
31008,1155,315,183,8,7,7
31047,1137,666,415,8,8,8
31061,1602,428,369,8,8,8
31210,1708,1029,1405,8,9,9
31216,1094,264,71,8,7,6
31312,1585,723,332,8,8,8
31313,1405,502,160,8,8,7
31326,1417,632,341,8,8,8
31404,992,321,147,8,7,7
31406,1463,682,860,8,8,9
31522,1444,781,1294,8,8,9
31523,1027,317,325,8,7,8
31548,1374,289,283,8,7,7
31602,1644,448,288,8,8,7
31605,1039,258,369,8,7,8
31632,1027,249,126,8,7,6
31721,1509,596,446,8,8,8
31763,1736,317,225,8,7,7
31792,990,424,472,8,8,8
31794,1114,275,255,8,7,7
31904,1441,384,870,8,8,9
96732,1396,681,758,8,8,8
96749,990,414,110,8,8,6
96753,1753,1069,1065,8,9,9
96761,1227,696,765,8,8,8
96766,1050,507,411,8,8,8
96768,1346,706,608,8,8,8
96814,1440,774,750,8,8,8
96821,1238,1149,1948,8,9,9
83202,1043,296,69,8,7,6
83221,1232,446,161,8,8,7
83402,1251,436,382,8,8,8
83404,1674,571,777,8,8,8
83406,974,506,411,8,8,8
83440,1248,186,150,8,7,7
83442,1344,378,291,8,8,7
83605,1630,304,229,8,7,7
83607,1149,298,321,8,7,8
83634,1444,397,180,8,8,7
83651,1064,217,59,8,7,5
83687,1501,354,372,8,7,8
83702,1414,961,1504,8,9,9
83703,1175,372,401,8,8,8
83705,1272,248,198,8,7,7
83714,1599,436,790,8,8,8
83716,1600,805,790,8,8,8
83814,1404,452,716,8,8,8
83835,1043,767,416,8,8,8
83843,1246,390,543,8,8,8
83858,1016,367,220,8,7,7
60008,1523,628,674,8,8,8
60012,1031,528,871,8,8,9
60018,1681,753,406,8,8,8
60026,1029,554,1443,8,8,9
60035,1675,1496,4255,8,9,9
60048,1625,1114,3724,8,9,9
60061,1788,1303,2068,8,9,9
60070,1044,273,571,8,7,8
60077,1689,758,554,8,8,8
60083,958,412,363,8,8,8
60084,1265,657,711,8,8,8
60087,1349,431,210,8,8,7
60091,1395,1228,3923,8,9,9
60097,988,277,164,8,7,7
60099,1506,615,233,8,8,7
60106,1252,463,283,8,8,7
60108,1686,1001,1079,8,9,9
60118,1331,734,773,8,8,8
60130,1110,423,490,8,8,8
60131,1240,295,93,8,7,6
60140,1671,752,553,8,8,8
60143,1009,681,453,8,8,8
60153,1153,337,74,8,7,6
60154,1582,817,341,8,9,8
60164,1085,307,154,8,7,7
60173,977,493,610,8,8,8
60175,1736,1399,2643,8,9,9
60178,1582,826,426,8,9,8
60191,1043,363,340,8,7,8
60192,1538,845,1104,8,9,9
60194,1440,921,509,8,9,8
60304,1430,961,1175,8,9,9
60403,1020,325,86,8,7,6
60404,1696,980,764,8,9,8
60409,1433,385,162,8,8,7
60417,1151,539,341,8,8,8
60419,984,329,65,8,7,6
60430,1422,655,416,8,8,8
60438,1520,560,265,8,8,7
60439,1595,1056,1488,8,9,9
60442,1231,285,232,8,7,7
60443,1602,1021,301,8,9,7
60445,1626,660,140,8,8,7
60447,1151,560,249,8,8,7
60450,1657,727,645,8,8,8
60459,1455,468,488,8,8,8
60463,968,779,641,8,8,8
60465,1153,411,388,8,8,8
60466,1295,174,151,8,7,7
60473,1260,522,266,8,8,7
60478,1342,225,107,8,7,6
60491,1762,1202,1208,8,9,9
60502,1628,1074,1766,8,9,9
60503,1393,912,895,8,9,9
60513,1518,831,444,8,9,8
60526,1047,632,956,8,8,9
60542,1560,807,654,8,8,8
60545,1114,549,124,8,8,6
60546,996,580,711,8,8,8
60554,1207,637,804,8,8,8
60555,1095,617,405,8,8,8
60559,1586,690,1025,8,8,9
60585,1695,1240,1984,8,9,9
60601,1672,1073,2080,8,9,9
60609,1650,609,426,8,8,8
60612,1661,709,709,8,8,8
60623,1353,504,176,8,8,7
60637,1416,534,962,8,8,9
60644,991,329,154,8,7,7
60653,1161,790,561,8,8,8
60656,1767,949,833,8,9,9
60661,1315,984,1454,8,9,9
60706,1492,716,587,8,8,8
60803,1390,447,244,8,8,7
60805,1535,588,373,8,8,8
60901,1546,546,312,8,8,7
61021,1172,606,365,8,8,8
61032,1291,407,271,8,8,7
61072,1063,471,249,8,8,7
61073,1606,845,642,8,9,8
61103,986,293,264,8,7,7
61108,1256,394,294,8,8,7
61109,1285,265,159,8,7,7
61111,1312,539,359,8,8,8
61114,1183,586,642,8,8,8
61115,1507,553,128,8,8,6
61244,1211,256,163,8,7,7
61350,1392,674,346,8,8,8
61364,993,268,200,8,7,7
61401,1112,388,232,8,8,7
61550,1401,568,765,8,8,8
61604,1281,351,219,8,7,7
61615,1618,639,1087,8,8,9
61701,1665,564,453,8,8,8
61705,972,632,878,8,8,9
61802,1051,504,401,8,8,8
61832,1286,385,280,8,8,7
61853,1189,674,444,8,8,8
61920,1002,467,316,8,8,8
62002,1533,477,294,8,8,7
62034,1205,556,590,8,8,8
62035,1448,547,270,8,8,7
62208,1239,295,304,8,7,7
62220,1084,289,288,8,7,7
62223,1179,380,189,8,8,7
62226,1774,593,679,8,8,8
62236,1196,708,837,8,8,9
62249,1157,448,297,8,8,7
62294,1152,524,448,8,8,8
62298,1397,650,464,8,8,8
62301,1095,347,461,8,7,8
62305,1429,543,431,8,8,8
62401,985,512,365,8,8,8
62526,1168,407,352,8,8,8
62629,1414,542,464,8,8,8
62650,1222,426,199,8,8,7
62702,1423,430,190,8,8,7
62703,1082,196,153,8,7,7
62711,1685,747,1234,8,8,9
62712,992,630,446,8,8,8
62864,1192,357,365,8,7,8
62959,1558,540,293,8,8,7
46011,1120,232,209,8,7,7
46012,1025,140,116,8,6,6
46041,986,180,90,8,7,6
46052,1381,543,527,8,8,8
46055,1285,485,584,8,8,8
46064,1186,511,279,8,8,7
46113,1264,109,219,8,6,7
46122,1261,314,296,8,7,7
46135,1005,255,165,8,7,7
46158,1579,570,389,8,8,8
46176,1470,337,345,8,7,8
46202,1093,423,621,8,8,8
46203,1017,338,346,8,7,8
46205,1120,559,705,8,8,8
46219,1613,319,256,8,7,7
46221,1086,122,17,8,6,4
46226,1116,307,250,8,7,7
46227,1592,532,399,8,8,8
46228,1032,287,370,8,7,8
46229,1225,377,276,8,8,7
46235,1169,375,49,8,8,5
46240,1667,499,1005,8,8,9
46250,1265,558,551,8,8,8
46254,1497,499,205,8,8,7
46259,1085,639,388,8,8,8
46260,1471,679,1139,8,8,9
46268,1299,443,183,8,8,7
46303,1010,396,224,8,8,7
46310,1038,139,120,8,6,6
46319,1496,382,96,8,8,6
46321,1734,865,1070,8,9,9
46356,1557,371,185,8,8,7
46360,1772,583,462,8,8,8
46373,1397,806,741,8,8,8
46516,1115,296,216,8,7,7
46526,1743,407,360,8,8,8
46528,1380,369,448,8,8,8
46544,1577,309,297,8,7,7
46545,1024,167,229,8,6,7
46561,1165,218,107,8,7,6
46563,1276,197,206,8,7,7
46580,1333,298,279,8,7,7
46628,1147,469,307,8,8,7
46637,1073,285,290,8,7,7
46703,1076,312,228,8,7,7
46706,1015,412,232,8,8,7
46725,1373,416,346,8,8,8
46733,1024,177,167,8,7,7
46750,1354,328,188,8,7,7
46815,1309,499,223,8,8,7
46818,1286,347,282,8,7,7
46825,1599,590,256,8,8,7
46947,1170,322,134,8,7,7
47111,958,495,180,8,8,7
47172,1299,597,385,8,8,8
47203,1679,694,568,8,8,8
47240,1411,432,159,8,8,7
47250,1153,378,251,8,8,7
47265,1088,304,100,8,7,6
47274,1744,496,377,8,8,8
47331,961,204,85,8,7,6
47374,1701,435,624,8,8,8
47404,1010,307,203,8,7,7
47408,981,455,365,8,8,8
47421,1173,456,204,8,8,7
47501,1029,278,147,8,7,7
47546,1397,337,387,8,7,8
47591,1083,347,323,8,7,8
47620,1237,324,123,8,7,6
47712,1388,555,295,8,8,7
47715,1400,643,463,8,8,8
47720,1098,423,449,8,8,8
47725,1536,709,610,8,8,8
47802,1463,486,524,8,8,8
47803,1088,372,293,8,8,7
47834,1121,324,109,8,7,6
47933,1480,343,342,8,7,8
50009,1500,697,502,8,8,8
50014,1241,759,580,8,8,8
50035,962,258,102,8,7,6
50036,1070,264,257,8,7,7
50111,1209,729,400,8,8,8
50125,1505,562,356,8,8,8
50131,1763,976,1361,8,9,9
50158,1632,420,230,8,8,7
50208,1171,150,160,8,6,7
50211,958,604,525,8,8,8
50219,1039,353,226,8,7,7
50315,1715,369,195,8,8,7
50320,1268,413,187,8,8,7
50323,1284,1105,1114,8,9,9
50325,1531,861,1030,8,9,9
50401,1629,391,378,8,8,8
50501,1247,434,253,8,8,7
50702,1013,180,134,8,7,7
51104,1584,454,471,8,8,8
51106,1677,461,454,8,8,8
51501,1312,298,177,8,7,7
52002,1457,473,535,8,8,8
52003,1063,431,445,8,8,8
52240,1582,726,837,8,8,9
52241,1254,404,1000,8,8,9
52245,1606,862,510,8,9,8
52246,1333,549,930,8,8,9
52317,1764,713,607,8,8,8
52403,1466,433,595,8,8,8
52405,1723,473,175,8,8,7
52501,1397,363,272,8,7,7
52601,1449,391,366,8,8,8
52732,1455,406,184,8,8,7
52803,1078,388,342,8,8,8
52804,1341,246,182,8,7,7
52806,1639,451,226,8,8,7
66012,957,361,195,8,7,7
66030,1727,527,313,8,8,7
66044,1131,373,382,8,8,8
66047,1169,540,679,8,8,8
66086,976,394,164,8,8,7
66106,1051,171,119,8,6,6
66202,995,306,350,8,7,8
66203,1247,320,157,8,7,7
66204,1366,452,288,8,8,7
66205,1395,438,722,8,8,8
66207,1101,811,1161,8,9,9
66209,1417,1016,2338,8,9,9
66210,1759,812,646,8,9,8
66218,1025,354,602,8,7,8
66219,1010,660,502,8,8,8
66226,1382,755,830,8,8,9
66441,1090,382,82,8,8,6
66503,1275,606,649,8,8,8
66604,1114,225,257,8,7,7
66605,1115,188,98,8,7,6
66618,1070,307,181,8,7,7
66762,1003,241,233,8,7,7
67002,1210,555,484,8,8,8
67114,989,353,226,8,7,7
67203,1098,289,138,8,7,7
67205,1722,1129,767,8,9,8
67206,1335,544,1098,8,8,9
67207,1473,283,336,8,7,8
67209,1141,348,137,8,7,7
67217,1128,363,98,8,7,6
67220,1035,372,131,8,8,6
67226,1277,766,581,8,8,8
67235,1269,687,472,8,8,8
67460,977,329,283,8,7,7
67502,1501,384,567,8,8,8
67601,1435,289,388,8,7,8
67846,1649,496,300,8,8,7
40004,1642,531,483,8,8,8
40014,1788,760,1188,8,8,9
40031,1494,718,451,8,8,8
40047,1426,612,317,8,8,8
40059,1182,1124,2550,8,9,9
40065,1607,772,640,8,8,8
40071,1151,495,331,8,8,8
40205,1755,1188,1148,8,9,9
40206,1272,580,579,8,8,8
40216,1720,400,65,8,8,6
40218,1374,317,246,8,7,7
40219,1459,392,313,8,8,7
40222,1752,770,1231,8,8,9
40228,1285,205,221,8,7,7
40258,1322,282,196,8,7,7
40330,1194,236,198,8,7,7
40342,1254,266,268,8,7,7
40361,1007,218,222,8,7,7
40383,1759,602,421,8,8,8
40403,1109,195,159,8,7,7
40422,1151,402,324,8,8,8
40502,1781,1098,1824,8,9,9
40505,1116,224,90,8,7,6
40513,1019,574,850,8,8,9
40514,1327,763,471,8,8,8
40517,1563,308,233,8,7,7
40701,1205,249,279,8,7,7
41001,1286,684,437,8,8,8
41011,1517,518,651,8,8,8
41015,1103,409,284,8,8,7
41018,1633,340,431,8,7,8
41048,1365,698,580,8,8,8
41071,1177,479,304,8,8,7
41075,1287,633,694,8,8,8
41076,1087,557,231,8,8,7
41094,1040,503,386,8,8,8
42001,1408,611,835,8,8,9
42003,1211,310,242,8,7,7
42025,1218,245,313,8,7,7
42071,1079,504,297,8,8,7
42101,1687,355,402,8,7,8
42103,1277,576,864,8,8,9
42141,1025,201,251,8,7,7
42240,1552,405,555,8,8,8
42420,1682,475,416,8,8,8
42431,1213,376,273,8,8,7
42503,1023,449,337,8,8,8
42718,1053,221,164,8,7,7
70002,1322,956,443,8,9,8
70005,1665,893,1320,8,9,9
70006,978,432,501,8,8,8
70037,1192,495,244,8,8,7
70047,977,577,394,8,8,8
70058,1780,495,254,8,8,7
70070,1047,759,382,8,8,8
70118,1406,653,1374,8,8,9
70119,1528,572,680,8,8,8
70122,1415,603,484,8,8,8
70123,1788,847,882,8,9,9
70124,1484,938,1571,8,9,9
70130,975,502,763,8,8,8
70131,1335,705,719,8,8,8
70360,1639,852,884,8,9,9
70364,1503,654,259,8,8,7
70403,1479,631,339,8,8,8
70435,1051,577,304,8,8,7
70447,1368,565,667,8,8,8
70448,1722,998,1050,8,9,9
70454,1711,581,495,8,8,8
70460,971,273,152,8,7,7
70461,1653,813,790,8,9,8
70471,1411,887,1408,8,9,9
70510,1358,406,149,8,8,7
70517,1113,442,277,8,8,7
70518,1047,555,243,8,8,7
70520,1311,333,269,8,7,7
70560,1497,335,127,8,7,6
70563,1464,355,288,8,7,7
70570,1499,319,358,8,7,8
70592,1657,679,607,8,8,8
70601,1168,352,340,8,7,8
70607,1143,460,258,8,8,7
70611,1183,613,619,8,8,8
70634,1555,378,323,8,8,8
70706,1550,771,315,8,8,8
70739,959,547,360,8,8,8
70767,1071,309,225,8,7,7
70785,1403,512,222,8,8,7
70791,1367,1046,852,8,9,9
70806,1552,663,792,8,8,8
70815,1488,445,223,8,8,7
71105,1224,578,499,8,8,8
71106,1631,770,1664,8,8,9
71107,1437,234,386,8,7,8
71112,1715,393,318,8,8,8
71115,1036,392,575,8,8,8
71118,1468,255,98,8,7,6
71203,1216,538,478,8,8,8
71270,962,432,563,8,8,8
71303,1174,513,452,8,8,8
3909,1117,404,530,8,8,8
4005,1464,414,245,8,8,7
4011,1310,588,618,8,8,8
4038,1333,780,482,8,8,8
4043,1009,342,463,8,7,8
4062,1443,508,329,8,8,8
4072,1502,518,476,8,8,8
4074,1650,905,1309,8,9,9
4092,1366,451,196,8,8,7
4102,1356,567,437,8,8,8
4210,1495,459,366,8,8,8
4240,1527,484,286,8,8,7
4330,1177,391,260,8,8,7
4901,1064,386,376,8,8,8
20607,1110,788,857,8,8,9
20619,1417,706,480,8,8,8
20639,1114,983,1099,8,9,9
20646,1667,1280,1072,8,9,9
20657,1764,648,716,8,8,8
20740,1635,912,823,8,9,8
20745,1600,631,527,8,8,8
20746,1767,731,477,8,8,8
20770,1710,774,457,8,8,8
20782,1679,1113,728,8,9,8
20784,1606,746,434,8,8,8
20794,1009,572,436,8,8,8
20851,971,604,585,8,8,8
20866,1153,699,511,8,8,8
20871,1494,912,1442,8,9,9
20872,1091,747,713,8,8,8
20876,1552,1410,1712,8,9,9
20895,1239,1083,2290,8,9,9
20903,1259,646,477,8,8,8
20905,1352,982,1381,8,9,9
20912,1492,717,1476,8,8,9
21030,1471,733,1341,8,8,9
21037,1729,1084,1628,8,9,9
21040,1619,693,272,8,8,7
21046,1615,983,1008,8,9,9
21047,1032,626,840,8,8,9
21050,1540,889,1014,8,9,9
21054,1137,510,937,8,8,9
21074,1212,653,568,8,8,8
21076,1768,1277,1136,8,9,9
21078,1240,867,852,8,9,9
21085,1527,641,399,8,8,8
21108,1305,1165,1507,8,9,9
21146,1746,1716,2993,8,9,9
21202,1000,332,634,8,7,8
21204,1206,805,1363,8,8,9
21211,1579,705,604,8,8,8
21213,1155,183,205,8,7,7
21214,1763,584,415,8,8,8
21215,1707,1011,679,8,9,8
21216,991,284,251,8,7,7
21217,1027,445,509,8,8,8
21225,1386,324,352,8,7,8
21231,1132,704,990,8,8,9
21239,1617,480,380,8,8,8
21286,1400,1113,1045,8,9,9
21409,1706,1073,1742,8,9,9
21502,1661,576,383,8,8,8
21666,1449,606,576,8,8,8
21704,1028,1175,1460,8,9,9
21774,1076,1133,916,8,9,9
21801,1722,687,524,8,8,8
21804,1672,805,547,8,8,8
21901,1093,586,481,8,8,8
1001,1432,650,339,8,8,8
1002,1289,822,1030,8,9,9
1007,1194,838,462,8,9,8
1013,982,319,242,8,7,7
1027,1471,496,348,8,8,8
1028,1175,722,622,8,8,8
1040,1471,768,586,8,8,8
1056,1451,695,409,8,8,8
1075,1280,543,428,8,8,8
1089,1766,585,791,8,8,8
1095,1353,663,899,8,8,9
1106,1379,858,1284,8,9,9
1108,996,287,328,8,7,8
1118,1048,373,211,8,8,7
1301,1009,397,244,8,8,7
1463,1160,582,616,8,8,8
1475,1075,261,174,8,7,7
1501,1376,832,606,8,9,8
1507,1306,653,613,8,8,8
1510,959,545,157,8,8,7
1520,1155,1002,987,8,9,9
1527,1157,614,467,8,8,8
1532,1126,807,1410,8,8,9
1550,1047,240,195,8,7,7
1562,1207,327,165,8,7,7
1569,1355,740,676,8,8,8
1570,1085,411,266,8,8,7
1581,1198,857,1811,8,9,9
1602,1441,921,685,8,9,8
1605,1080,304,317,8,7,8
1606,1478,605,434,8,8,8
1609,1108,486,677,8,8,8
1720,1610,1182,2756,8,9,9
1721,1388,1147,1488,8,9,9
1742,1138,955,2407,8,9,9
1746,1113,870,1512,8,9,9
1748,1150,771,2485,8,8,9
1749,1581,1160,853,8,9,9
1754,974,611,696,8,8,8
1830,1762,764,628,8,8,8
1832,1466,817,567,8,9,8
1835,1237,351,380,8,7,8
1841,1094,434,273,8,8,7
1843,1215,617,182,8,8,7
1851,1546,554,462,8,8,8
1854,1339,474,383,8,8,8
1864,1155,924,1359,8,9,9
1867,1640,1502,2335,8,9,9
1879,1064,844,666,8,9,8
1886,1633,1617,2491,8,9,9
1890,1202,904,3474,8,9,9
1902,1780,861,515,8,9,8
1904,1422,682,482,8,8,8
1905,1205,522,234,8,8,7
1907,1124,979,1157,8,9,9
1913,1558,708,752,8,8,8
1938,1087,588,1001,8,8,9
1945,1412,769,2420,8,8,9
1950,1408,1159,1690,8,9,9
2019,1786,837,728,8,9,8
2021,1670,1151,1886,8,9,9
2035,1419,695,1158,8,8,9
2043,1339,1049,3264,8,9,9
2045,1019,468,674,8,8,8
2048,1682,1539,1734,8,9,9
2053,1021,947,1135,8,9,9
2066,1414,851,2074,8,9,9
2067,1304,947,2013,8,9,9
2081,1529,1091,1579,8,9,9
2113,992,564,517,8,8,8
2114,1177,856,1615,8,9,9
2115,959,555,821,8,8,8
2116,1614,1169,3819,8,9,9
2118,1173,1360,2826,8,9,9
2119,1092,539,263,8,8,7
2121,1099,390,312,8,8,7
2122,1300,820,600,8,9,8
2126,1588,423,489,8,8,8
2129,1523,1202,2569,8,9,9
2134,1326,686,589,8,8,8
2140,1607,1376,1948,8,9,9
2141,1411,675,994,8,8,9
2152,1078,708,968,8,8,9
2170,1407,1018,664,8,9,8
2171,1597,759,930,8,8,9
2186,1661,1168,2830,8,9,9
2188,1225,711,682,8,8,8
2189,1220,603,460,8,8,8
2215,959,579,687,8,8,8
2332,992,804,1706,8,8,9
2333,1109,566,504,8,8,8
2339,1099,650,1311,8,8,9
2351,1538,1000,634,8,9,8
2359,1638,761,1050,8,8,9
2364,1191,590,610,8,8,8
2370,1541,805,491,8,8,8
2375,980,448,517,8,8,8
2382,1365,470,413,8,8,8
2421,1044,775,3022,8,8,9
2445,1470,1311,2387,8,9,9
2451,1485,1193,1397,8,9,9
2452,1017,464,669,8,8,8
2467,1221,929,2010,8,9,9
2476,1357,751,1695,8,8,9
2478,1438,1293,3061,8,9,9
2492,1208,1063,2927,8,9,9
2532,1200,480,343,8,8,8
2536,1179,752,643,8,8,8
2632,1087,361,503,8,7,8
2649,1317,547,523,8,8,8
2719,1079,671,302,8,8,7
2720,1654,623,386,8,8,8
2721,962,295,181,8,7,7
2726,1258,615,412,8,8,8
2743,1001,498,167,8,8,7
2745,1766,659,202,8,8,7
2747,1483,833,597,8,9,8
2748,1002,480,619,8,8,8
2766,1627,1054,961,8,9,9
2767,1198,741,768,8,8,8
2771,1208,775,754,8,8,8
2777,1480,612,405,8,8,8
2790,1452,591,530,8,8,8
48009,1611,1068,2849,8,9,9
48017,1179,464,192,8,8,7
48021,1365,300,142,8,7,7
48025,1167,931,1736,8,9,9
48035,1719,675,224,8,8,7
48036,1322,478,225,8,8,7
48051,1345,654,302,8,8,7
48060,1458,461,258,8,8,7
48065,967,453,327,8,8,8
48071,1673,460,163,8,8,7
48072,1625,675,455,8,8,8
48075,1325,449,267,8,8,7
48079,1028,370,372,8,8,8
48080,1412,525,297,8,8,7
48081,1706,449,292,8,8,7
48082,1155,306,220,8,7,7
48083,1761,868,676,8,9,8
48084,1493,753,907,8,8,9
48088,1603,353,287,8,7,7
48092,1501,552,213,8,8,7
48093,1213,637,333,8,8,8
48094,1483,1108,987,8,9,9
48098,1403,1044,2015,8,9,9
48114,1487,1012,1201,8,9,9
48118,1038,608,599,8,8,8
48126,985,360,199,8,7,7
48127,1616,490,530,8,8,8
48130,1333,893,992,8,9,9
48134,1697,680,478,8,8,8
48135,1700,352,126,8,7,6
48138,985,636,668,8,8,8
48146,1538,351,147,8,7,7
48161,1321,487,276,8,8,7
48162,1701,428,296,8,8,7
48167,1787,1036,1632,8,9,9
48168,1387,964,2927,8,9,9
48173,1039,430,164,8,8,7
48174,1603,407,180,8,8,7
48176,1781,974,1549,8,9,9
48182,1739,691,443,8,8,8
48186,1660,577,260,8,8,7
48192,1751,541,253,8,8,7
48219,1377,350,225,8,7,7
48221,1332,769,405,8,8,8
48224,1081,259,106,8,7,6
48230,1192,676,1719,8,8,9
48235,1003,371,114,8,8,6
48237,1683,238,270,8,7,7
48301,1001,804,1866,8,8,9
48302,1061,752,2087,8,8,9
48304,1316,762,1915,8,8,9
48314,1513,515,646,8,8,8
48323,1184,816,1723,8,9,9
48324,1296,744,1636,8,8,9
48326,1648,544,405,8,8,8
48327,1728,498,303,8,8,7
48328,1186,530,505,8,8,8
48334,1722,722,736,8,8,8
48335,1746,1310,952,8,9,9
48346,1573,1080,919,8,9,9
48348,1672,1520,1556,8,9,9
48360,1133,824,766,8,9,8
48362,1258,595,737,8,8,8
48374,1255,955,1436,8,9,9
48377,1191,633,817,8,8,8
48381,967,682,727,8,8,8
48383,1013,581,434,8,8,8
48386,1336,926,673,8,9,8
48393,994,616,432,8,8,8
48420,1173,355,233,8,7,7
48423,1774,644,447,8,8,8
48433,1306,726,478,8,8,8
48442,1266,473,513,8,8,8
48446,1676,664,213,8,8,7
48451,1455,440,449,8,8,8
48462,1334,538,411,8,8,8
48473,1447,506,407,8,8,8
48603,1658,615,598,8,8,8
48623,1070,299,376,8,7,8
48708,1016,211,228,8,7,7
48813,1284,379,255,8,8,7
48820,1490,736,811,8,8,8
48827,1216,344,156,8,7,7
48836,1065,316,216,8,7,7
48837,1410,542,515,8,8,8
48840,1012,502,469,8,8,8
48854,1408,551,312,8,8,7
48855,1324,622,337,8,8,8
48858,1664,675,676,8,8,8
48864,1719,1093,1191,8,9,9
48867,1274,431,216,8,8,7
48879,1266,382,212,8,8,7
48895,1035,573,628,8,8,8
48906,967,350,264,8,7,7
48910,1206,314,127,8,7,6
48911,1767,452,216,8,8,7
49002,1182,464,326,8,8,8
49014,1092,252,257,8,7,7
49015,1574,595,561,8,8,8
49017,1016,429,140,8,8,7
49036,978,339,231,8,7,7
49058,1074,350,334,8,7,8
49068,963,337,301,8,7,7
49079,990,241,154,8,7,7
49080,1002,369,245,8,8,7
49120,1583,622,527,8,8,8
49203,1653,562,336,8,8,8
49221,1532,432,280,8,8,7
49286,1141,266,322,8,7,8
49301,1302,926,1989,8,9,9
49315,1745,833,655,8,9,8
49319,1446,252,78,8,7,6
49321,993,404,184,8,8,7
49331,1257,506,394,8,8,8
49345,969,345,109,8,7,6
49401,1036,226,213,8,7,7
49431,966,251,321,8,7,8
49442,1089,153,121,8,6,6
49445,1436,508,419,8,8,8
49456,1177,596,672,8,8,8
49503,1558,635,708,8,8,8
49507,1013,182,115,8,7,6
49512,1119,413,365,8,8,8
49519,1432,279,227,8,7,7
49534,1561,465,341,8,8,8
49548,1056,192,73,8,7,6
49707,1013,243,204,8,7,7
49735,1143,274,192,8,7,7
49855,1685,620,441,8,8,8
55008,1117,393,226,8,8,7
55011,1248,493,245,8,8,7
55021,1669,423,403,8,8,8
55040,1215,347,272,8,7,7
55056,1066,407,308,8,8,7
55057,1489,698,700,8,8,8
55066,1167,579,259,8,8,7
55075,1315,365,186,8,7,7
55076,1616,864,557,8,9,8
55102,1220,578,557,8,8,8
55105,1706,1234,1893,8,9,9
55108,1256,556,438,8,8,8
55127,1602,518,1785,8,8,9
55129,1782,1552,2111,8,9,9
55301,1406,713,278,8,8,7
55306,1228,576,385,8,8,8
55308,972,421,220,8,8,7
55309,1666,620,555,8,8,8
55317,1473,1258,2066,8,9,9
55328,967,381,337,8,8,8
55331,1310,879,2347,8,9,9
55344,1320,328,562,8,7,8
55345,1482,1210,1920,8,9,9
55346,1588,847,1281,8,9,9
55350,1175,424,346,8,8,8
55362,1605,611,270,8,8,7
55364,1244,784,1480,8,8,9
55371,1321,363,228,8,7,7
55374,1339,1164,801,8,9,8
55387,1116,601,699,8,8,8
55391,1175,603,2206,8,8,9
55398,1508,467,468,8,8,8
55401,1271,792,1108,8,8,9
55403,1226,615,921,8,8,9
55410,1748,1025,2282,8,9,9
55413,1216,452,411,8,8,8
55414,1193,561,543,8,8,8
55420,1401,414,307,8,8,7
55421,1594,640,269,8,8,7
55429,1263,482,220,8,8,7
55430,961,332,146,8,7,7
55431,1744,659,605,8,8,8
55435,1074,610,804,8,8,8
55436,966,514,1525,8,8,9
55437,1374,1097,719,8,9,8
55438,1476,587,1146,8,8,9
55441,1348,633,1174,8,8,9
55442,1303,674,1039,8,8,9
55444,1180,597,298,8,8,7
55447,1717,1058,1608,8,9,9
55744,1304,435,312,8,8,7
55746,1085,160,175,8,6,7
55803,1667,643,478,8,8,8
55804,1378,543,488,8,8,8
55902,1678,961,2073,8,9,9
55904,1505,798,502,8,8,8
55906,1480,947,1023,8,9,9
55912,1252,551,432,8,8,8
56003,1134,358,418,8,7,8
56007,1030,324,179,8,7,7
56071,984,527,406,8,8,8
56073,1261,265,227,8,7,7
56201,1082,338,257,8,7,7
56258,989,236,223,8,7,7
56301,1550,761,495,8,8,8
56303,1369,431,300,8,8,7
56377,1440,853,569,8,9,8
56379,1005,418,229,8,8,7
56401,1513,558,443,8,8,8
56501,1015,287,427,8,7,8
56537,1114,400,335,8,8,8
56601,1783,572,438,8,8,8
38655,1755,827,1026,8,9,9
38671,1676,338,99,8,7,6
38672,1414,759,302,8,8,7
38801,982,359,384,8,7,8
38834,1022,343,338,8,7,8
39046,1241,260,231,8,7,7
39056,1466,506,402,8,8,8
39073,1012,420,126,8,8,6
39157,1182,581,781,8,8,8
39180,1463,471,293,8,8,7
39206,958,160,185,8,6,7
39208,1427,298,119,8,7,6
39211,1455,621,736,8,8,8
39212,1022,290,206,8,7,7
39305,1224,434,388,8,8,8
39401,1090,214,331,8,7,8
39426,1264,272,216,8,7,7
39465,1414,376,134,8,8,7
39466,1109,176,148,8,7,7
39560,1030,232,282,8,7,7
39565,1095,562,138,8,8,7
39601,1180,184,316,8,7,8
39759,1780,703,646,8,8,8
63020,1102,293,129,8,7,6
63025,1335,815,715,8,9,8
63028,1323,667,371,8,8,8
63043,1750,698,288,8,8,7
63049,1300,497,339,8,8,8
63050,1010,417,274,8,8,7
63069,974,397,341,8,8,8
63084,963,404,257,8,8,7
63090,1642,578,569,8,8,8
63104,1309,512,596,8,8,8
63108,1119,634,1065,8,8,9
63110,987,633,691,8,8,8
63114,1272,190,134,8,7,7
63118,986,286,441,8,7,8
63125,1552,332,145,8,7,7
63126,1308,540,454,8,8,8
63130,1567,1065,1594,8,9,9
63131,1109,873,2753,8,9,9
63135,1030,195,153,8,7,7
63139,1520,615,448,8,8,8
63141,1283,987,2377,8,9,9
