ZCTA,Households100to149K,Households150to199K,Households200KorMore,RFM1,RFM2,RFM3
90505,3064,1644,2281,9,9,9
90601,2140,1105,856,9,9,9
90603,1920,958,766,9,9,8
90604,2454,1319,571,9,9,8
90605,2299,1059,720,9,9,8
90620,3190,1420,1301,9,9,9
90630,3249,1893,2081,9,9,9
90631,4444,1909,2215,9,9,9
90638,3417,1806,1569,9,9,9
90640,2830,1158,768,9,9,8
90650,5492,2011,977,9,9,9
90660,2981,1282,707,9,9,8
90703,3431,2098,2637,9,9,9
90706,3681,1237,901,9,9,9
90712,2607,1312,1024,9,9,9
90713,2135,1506,1057,9,9,9
90731,3126,1415,1550,9,9,9
90732,1868,1138,1505,9,9,9
90744,1840,612,416,9,8,8
90745,3244,1418,1175,9,9,9
90802,2528,1184,904,9,9,9
90803,3188,1788,2483,9,9,9
90804,1968,614,650,9,8,8
90805,3574,1289,522,9,9,8
90807,2186,1399,1350,9,9,9
90808,2923,2038,2782,9,9,9
90815,2739,1970,2151,9,9,9
91001,2266,1653,2522,9,9,9
91006,2032,1329,2096,9,9,9
91007,2248,1144,1570,9,9,9
91016,2702,1225,1439,9,9,9
91040,1821,709,738,9,8,8
91101,1892,744,920,9,8,9
91104,1965,1233,2055,9,9,9
91106,1888,1206,1322,9,9,9
91107,2258,1607,2460,9,9,9
91206,2205,1213,1320,9,9,9
91214,2317,1130,2017,9,9,9
91304,2995,1260,1773,9,9,9
91306,2740,1128,843,9,9,9
91307,1820,1256,2179,9,9,9
91311,2636,1570,2017,9,9,9
91316,2477,1005,1399,9,9,9
91320,3331,2093,3702,9,9,9
91321,2080,1032,948,9,9,9
91325,2060,1017,1369,9,9,9
91326,2516,1772,2858,9,9,9
91331,3818,1628,1010,9,9,9
91335,3978,1820,1467,9,9,9
91342,4797,2213,1447,9,9,9
91343,3247,1470,1345,9,9,9
91344,3915,2106,2179,9,9,9
91350,2678,2141,1835,9,9,9
91351,1795,1271,717,9,9,8
91352,2024,731,484,9,8,8
91354,2390,1730,2593,9,9,9
91355,2636,1464,1500,9,9,9
91360,3036,1788,2676,9,9,9
91362,2392,1918,3504,9,9,9
91364,2016,1223,2462,9,9,9
91367,3274,2550,3142,9,9,9
91384,2030,1026,1016,9,9,9
91387,2849,1532,1934,9,9,9
91401,2001,991,1264,9,9,9
91402,2277,862,457,9,9,8
91403,2152,1403,2349,9,9,9
91405,1935,533,770,9,8,8
91406,2585,1515,982,9,9,9
91423,2757,1405,2792,9,9,9
91505,2559,1352,1673,9,9,9
91601,2086,788,1064,9,8,9
91602,2145,823,1176,9,9,9
91604,2407,1637,3975,9,9,9
91607,2298,869,1456,9,9,9
91701,3372,1800,1482,9,9,9
91702,3097,979,627,9,9,8
91706,3004,1057,639,9,9,8
91709,6081,3574,3936,9,9,9
91710,4597,2492,1894,9,9,9
91711,2259,1547,2286,9,9,9
91722,2094,1001,445,9,9,8
91730,4529,1755,1204,9,9,9
91739,2894,1763,2270,9,9,9
91740,1880,842,677,9,9,8
91741,2071,1071,1731,9,9,9
91744,3716,1478,769,9,9,8
91745,3105,1975,1908,9,9,9
91748,2281,1090,1192,9,9,9
91750,2551,1258,1589,9,9,9
91752,1990,969,813,9,9,8
91761,3577,1270,610,9,9,8
91762,2536,1095,546,9,9,8
91764,2494,787,383,9,8,8
91765,3441,1936,2224,9,9,9
91766,2564,1077,902,9,9,9
91767,2328,874,546,9,9,8
91770,2407,926,676,9,9,8
91773,2526,1230,1240,9,9,9
91780,2043,1102,1019,9,9,9
91784,1921,1738,1905,9,9,9
91786,2953,1149,712,9,9,8
91789,2770,1724,2275,9,9,9
91790,2421,1171,1143,9,9,9
91791,2238,1116,1012,9,9,9
91792,2087,788,452,9,8,8
91801,3235,1334,1480,9,9,9
91803,1883,682,655,9,8,8
91910,4517,1962,1447,9,9,9
91911,4292,1285,868,9,9,9
91913,3719,2218,1902,9,9,9
91915,2350,1372,1287,9,9,9
91941,2324,1157,1438,9,9,9
91942,2689,929,810,9,9,8
91977,3539,1514,888,9,9,9
92008,1998,1043,1863,9,9,9
92009,2815,2681,5120,9,9,9
92011,1839,1272,2391,9,9,9
92019,2925,1253,1919,9,9,9
92020,2549,1311,1302,9,9,9
92021,3432,1351,1170,9,9,9
92024,3278,2682,5116,9,9,9
92025,1988,1214,1161,9,9,9
92026,3049,1553,1506,9,9,9
92027,3165,1557,724,9,9,8
92028,3076,1513,1547,9,9,9
92037,2698,1683,4744,9,9,9
92040,2793,1490,1269,9,9,9
92054,2636,934,1082,9,9,9
92056,3813,1970,1720,9,9,9
92057,3293,1962,1697,9,9,9
92058,2175,548,329,9,8,8
92064,3110,2087,3321,9,9,9
92065,2748,1630,1438,9,9,9
92069,2882,1403,1217,9,9,9
92071,4396,2288,1506,9,9,9
92078,3273,1824,2682,9,9,9
92081,2227,1273,674,9,9,8
92083,1855,660,505,9,8,8
92084,2643,1577,1297,9,9,9
92101,3799,2133,2879,9,9,9
92102,1850,564,556,9,8,8
92103,3107,1634,2235,9,9,9
92104,3789,1421,1303,9,9,9
92105,2338,639,318,9,8,8
92107,2628,1682,1569,9,9,9
92108,2448,999,724,9,9,8
92109,4009,2038,2401,9,9,9
92110,2117,788,1215,9,8,9
92111,3016,1443,1396,9,9,9
92114,3212,1259,704,9,9,8
